Row	BRCA_H_TCGA_BH_A1FR_11B_42R_A13Q_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07	BRCA_H_TCGA_BH_A0DD_11A_23R_A12P_07	BRCA_H_TCGA_A7_A13E_11A_61R_A12P_07	BRCA_H_TCGA_AC_A2FF_11A_13R_A17B_07	BRCA_H_TCGA_E2_A1LB_11A_22R_A144_07	BRCA_H_TCGA_BH_A1FN_11A_34R_A13Q_07	BRCA_H_TCGA_BH_A0DL_11A_13R_A115_07	BRCA_H_TCGA_E9_A1RD_11A_33R_A157_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07_1
1/2-SBSRNA4	1.38200488690634	0.529034008952059	0.32011460523498	0.690627249795962	0.908471796731172	1.05684785913762	0.932374309058052	0.753033815708817	0.536753332455821	0.529034008952059
A1BG	2.62853444298311	0.65155660785432	0.509570881542475	1.09694758532145	2.64713869545632	2.93665477564303	1.78082056291183	2.74767797376244	0.824126082080384	0.65155660785432
A1BG-AS1	0.900955740411796	0.129650588109378	0.170793540697994	0.363795199188295	0.88325861040767	0.848645347121714	0.5768622023902	0.842078002117202	0.334945839306351	0.129650588109378
A1CF	0.0136073644825123	0	0	0.00478343986635885	0.0134613536680015	0.0316160245805655	0.0030701180134105	0.0134448686304187	0.00299479331607736	0
A2LD1	1.47396865762224	2.80626755213667	1.7016495160211	2.16680433728612	1.72818081540323	2.37208088758001	1.82403822718283	1.40120146863297	1.76454037163202	2.80626755213667
A2M	417.417942447596	454.730142063519	407.19471722952	564.257157280105	449.016067215411	249.647016093437	596.750452655667	538.852602896102	402.271032780749	454.730142063519
A2ML1	0.212763056154012	0.23171748779198	0.14637722316806	0.118989293084369	0.305621283625965	0.148463768072823	0.130919953234184	0.600208530417473	0.0638539299099037	0.23171748779198
A2MP1	0.345484299494048	0.708976051131007	0.111596988991941	0.113858614037969	0.24921251005182	0.107506517745287	0.913462361046691	0.466701224112625	0.427704362331574	0.708976051131007
A4GALT	6.9790780472871	16.8087153475265	15.7604608077021	12.9532224666559	9.03390243519039	4.56717698761693	7.50956883041899	13.4577077730126	12.2634366981368	16.8087153475265
A4GNT	0.043929274812149	0.194915127521863	0	0.077212984449238	0.00804775952709622	0.0121508872399858	0.00825950156685169	0.16276755768116	0.572036807208351	0.194915127521863
AA06	0	0	0	0	0	0	0	0.0253394290307081	0	0
AAA1	0.0041908395654124	0.00371896887353177	0.0278477203346081	0.0110491431366839	0	0	0	0.00258799598374394	0.0276703802607315	0.00371896887353177
AAAS	22.6577729697273	17.0874817023198	17.93779921333	18.5600904017023	23.6405104666408	23.6395147454905	18.2904436583736	21.6461900070837	19.5194474098717	17.0874817023198
AACS	82.249742886396	19.2017361903245	10.0663681197012	25.1582967256296	46.1009446431074	33.8566489921794	13.5220301818505	15.7058984833202	10.7584482556893	19.2017361903245
AACSP1	0.0238683067011247	0.0317712554846957	0	0.010488126665102	0.0131178850644155	0.00990300105937179	0.00673151278181976	0.00736977411293488	0	0.0317712554846957
AADAC	3.03573353884504	11.2628902864756	7.86857047628106	1.6177706810289	0.0443729206802223	0	0.127513126929341	1.38606361238458	13.1314619496127	11.2628902864756
AADACL2	0.0345772203076959	0.675047395422827	0.229762257907407	0.091162796973067	0.0285051642449748	0.0143461475346766	0.0195034363665258	0.19217422976889	0.114149542035605	0.675047395422827
AADACL3	0.012809540741305	0.0170508614888228	0.165507512693654	0.810536105465648	0	0	0	0.0711932192277933	0.116292136551462	0.0170508614888228
AADACL4	0.0329306860073295	0.0146114154853426	0	0.0434108557014605	0.00904925849046819	0	0	0.0203358973300413	0.00905948746314322	0.0146114154853426
AADAT	10.1833078110852	1.28275342686421	1.53716430172385	1.25140278706789	3.50978727808342	2.8017954523838	2.73810722699769	2.13171635905591	2.10113029745237	1.28275342686421
AAGAB	21.5575903412217	14.1313444616194	10.4786126409441	17.2472321514071	25.3240079540154	18.44072461663	20.6688438119773	21.3902188963615	14.6348138690639	14.1313444616194
AAK1	3.37073019975799	2.83103475582923	2.46617612825608	3.18630373149457	2.93228529442193	2.09879449707872	2.67031530595532	3.69994510092702	2.9020501369856	2.83103475582923
AAMP	54.9465392982168	57.4875263163346	59.3520463584945	43.3061418415002	67.8925286715923	87.9251618843062	32.5021014295477	64.2456420676532	52.6660394026513	57.4875263163346
AANAT	0	0	0.0365921735797749	0	0.0476674987374161	0.0102815199722957	0.0279552360724211	0.0612117310937697	0.0204520201927146	0
AARS	42.1875176002989	42.4749129161085	48.7317229129271	51.8515669386284	52.2537849347176	46.0758446538357	31.4729122287275	48.4697811874735	42.712205284704	42.4749129161085
AARS2	5.12476053807601	3.25319407512427	3.6115564727534	2.62126402839747	5.94602704608163	8.86959121419309	3.62783493266932	6.05484120002358	3.24044339843859	3.25319407512427
AARSD1	6.9369779176027	5.52802885688784	5.03655404220715	5.10289974159739	9.38759931614606	11.0595523476844	4.26854568164177	7.6273184314165	6.68580502729297	5.52802885688784
AASDH	6.98389938396807	3.63192766550154	4.15628160073073	5.15206764696145	5.61538127431896	7.92845221798471	8.14560116150393	6.28258445631235	5.11284806365597	3.63192766550154
AASDHPPT	16.8051816979557	11.8403025729529	10.2928565962249	13.2713404191829	17.3960212414282	19.8343888757124	20.2925040908968	16.4679186758731	13.4757105286702	11.8403025729529
AASS	6.83328561778304	6.58129660957708	5.0027721516772	4.16529045955122	4.84311042997145	4.2591270912862	6.05184554602595	8.15046554461823	6.5814375709508	6.58129660957708
